PatientID,Name,SSN,PhoneNumber,Email,InsuranceID,Gender,DateOfBirth,Age,Diagnosis,TreatmentPlan,Medications,LabResults,Allergies,LastVisitDate,DoctorAssigned,Notes,DataDeletionRequested
150,Jennifer Mccormick,101-13-9377,937.427.0150x94625,xfitzgerald@example.net,aRC-3634489,Other,1970-01-04,31,Hypothyroidism,Feeling rock around strong save.,"Amlodipine, Omeprazole, Simvastatin","{""WBC"": 10684.6, ""Hgb"": 14.0, ""Platelets"": 234.9, ""Glucose"": 124.9}",Peanuts,2025-10-23,Jennifer Pena,Bed section yourself through none support.,False
151,Matthew Mcconnell,074-12-5543,001-221-620-1715x52754,michael21@example.org,jTU-0394113,Male,1988-08-12,59,Asthma,Letter others nation for paper.,"Amlodipine, Atorvastatin","{""WBC"": 4904.6, ""Hgb"": 16.3, ""Platelets"": 358.7, ""Glucose"": 85.5}",Penicillin,2025-10-04,Sarah Reyes,Leg maybe various also edge civil professional court career student camera stay.,False
152,Heidi Nolan,667-72-9323,720-521-9707x090,vstafford@example.com,eKX-9165797,Male,1988-10-30,29,Asthma,Late itself citizen recognize lot draw.,Amlodipine,"{""WBC"": 5141.3, ""Hgb"": 13.6, ""Platelets"": 298.1, ""Glucose"": 77.6}",Penicillin,2025-10-20,Sandra Oneill,Early business why read east factor ok gas particularly good very author nor.,True
153,Jasmine Wilson,482-76-9046,648-276-6401,maryhouston@example.com,AXi-6783236,Male,1948-05-18,2,Asthma,Like such television foreign mission technology child.,Hydrochlorothiazide,"{""WBC"": 10701.8, ""Hgb"": 12.2, ""Platelets"": 273.9, ""Glucose"": 81.1}",None,2025-10-30,Jennifer Dean,Four yourself instead almost stand my evening miss.,False
154,Lauren Mitchell,711-59-1755,390-815-7426x086,cindychen@example.net,TMY-7317938,Other,2011-12-25,86,Anxiety,Road detail fall stuff order social director.,Omeprazole,"{""WBC"": 4645.3, ""Hgb"": 13.1, ""Platelets"": 338.8, ""Glucose"": 133.9}",Latex,2025-07-23,Rachel Shannon,Great do early born similar someone help feel student enter between skill.,False
155,Anthony Mullins,464-35-4233,4592552499,joshuawilliamson@example.net,AsJ-7491398,Female,1932-12-11,75,Migraine,Open represent choose piece nearly.,"Amlodipine, Levothyroxine, Atorvastatin","{""WBC"": 10045.4, ""Hgb"": 12.3, ""Platelets"": 253.0, ""Glucose"": 106.4}",Penicillin,2026-02-25,Gregory Neal,Nation for room walk get compare large debate figure.,True
156,Karen Mathews,449-65-9639,001-259-783-2174x9985,uarmstrong@example.org,anf-8294246,Other,1977-06-18,72,Hypothyroidism,Gas two tough popular.,"Lisinopril, Simvastatin, Gabapentin","{""WBC"": 5497.1, ""Hgb"": 13.1, ""Platelets"": 253.5, ""Glucose"": 109.0}",Penicillin,2025-12-14,Thomas Williams,Drug begin Democrat main reflect tree they report center bit near leg Mr.,True
157,Elizabeth Valencia,506-17-2978,001-460-396-8404x66778,ronald26@example.com,tJZ-5390858,Other,1930-03-29,9,Hypothyroidism,Nor then expect.,"Hydrochlorothiazide, Levothyroxine, Gabapentin","{""WBC"": 8277.5, ""Hgb"": 12.4, ""Platelets"": 280.3, ""Glucose"": 123.4}",None,2025-07-31,Danielle Mitchell,Central feel process knowledge government seek much compare opportunity by nature night image.,True
158,Teresa Hicks MD,783-62-2623,746.262.7683x222,alexandermario@example.com,uHD-5134312,Male,1956-06-08,40,Arthritis,How food first probably top.,"Albuterol, Atorvastatin, Simvastatin","{""WBC"": 6103.3, ""Hgb"": 13.8, ""Platelets"": 182.0, ""Glucose"": 117.5}",None,2025-10-09,Mark Shepherd,Seem great leader cold evidence look other word myself set also look heavy.,False
159,Alexander Payne,276-87-5044,+1-266-731-1459x1746,eric27@example.net,XTn-0394811,Female,2014-08-12,99,Hypothyroidism,Memory they institution guess society cost garden.,"Hydrochlorothiazide, Albuterol","{""WBC"": 9758.1, ""Hgb"": 17.5, ""Platelets"": 337.5, ""Glucose"": 108.5}",Latex,2026-02-05,Shannon Williams,Through month rock point mean create camera wrong cup traditional sell admit.,False
160,Michele King,146-86-2607,001-625-649-9861,bakermelanie@example.net,QfG-4069255,Female,2015-06-13,2,Migraine,Move family state current.,"Amlodipine, Atorvastatin","{""WBC"": 5693.4, ""Hgb"": 15.7, ""Platelets"": 166.5, ""Glucose"": 125.5}",Latex,2025-04-26,Nicholas Deleon,Action project nation green training particular shoulder family happen card dinner get sense.,True
161,Jon Parker II,672-10-0245,821.414.4469x70515,choward@example.net,KLD-7886813,Other,1929-08-25,36,Anxiety,Rather name past protect yard hand.,"Omeprazole, Albuterol, Atorvastatin","{""WBC"": 10310.1, ""Hgb"": 15.1, ""Platelets"": 150.1, ""Glucose"": 70.2}",Peanuts,2025-08-05,Brittany Dean,Window over identify language leader term decision.,True
162,Wendy Duffy,668-70-7984,001-231-653-4940x7495,ashleysullivan@example.com,ccu-3578590,Other,2006-09-21,30,Hypertension,Score matter issue house.,"Amlodipine, Atorvastatin","{""WBC"": 4755.3, ""Hgb"": 17.1, ""Platelets"": 197.9, ""Glucose"": 76.4}",Pollen,2025-11-12,Lauren Collins,Recently whole treat color share including test someone treatment.,False
163,Aaron Fields,368-70-8728,520-686-9949x69880,moorecourtney@example.org,bWl-1440858,Male,2024-07-17,71,Hypertension,Challenge let morning daughter.,"Gabapentin, Simvastatin, Metformin","{""WBC"": 4144.5, ""Hgb"": 14.9, ""Platelets"": 299.5, ""Glucose"": 94.3}",Latex,2025-04-27,Emily Patel,Girl mouth investment woman test rule often fine listen mind.,True
164,Daniel Glover,842-57-2999,276.724.1962x079,walkerdavid@example.org,jey-1566798,Other,1960-01-22,68,Hypothyroidism,Five town scientist.,"Gabapentin, Atorvastatin","{""WBC"": 6821.1, ""Hgb"": 13.4, ""Platelets"": 287.4, ""Glucose"": 93.3}",Penicillin,2026-02-05,Stephen Simpson,Crime cold edge might go national itself person hotel really bit account.,True
165,Charles Smith,266-57-6536,386.949.5689x28132,mariabowen@example.org,xul-1924200,Other,2004-09-17,93,Obesity,Strong speech chance in explain.,"Atorvastatin, Lisinopril","{""WBC"": 4183.5, ""Hgb"": 13.8, ""Platelets"": 361.8, ""Glucose"": 127.7}",Latex,2025-08-14,Tonya York,Throw yeah realize again sense plan hotel green establish win either.,True
166,Lori Smith,629-58-3951,610.712.3660x9808,mario99@example.org,Mwp-9988205,Female,1946-10-11,19,Asthma,Clear music gas budget end.,"Hydrochlorothiazide, Atorvastatin, Albuterol","{""WBC"": 5594.8, ""Hgb"": 15.3, ""Platelets"": 322.3, ""Glucose"": 80.7}",Pollen,2025-08-11,Donald Lara,Represent war fire off attorney my one daughter check teach.,False
167,James Scott,131-78-7856,572-456-4467,wellslisa@example.com,zAq-3956051,Male,1986-09-23,9,Migraine,Our seem response time size continue.,"Levothyroxine, Metformin, Gabapentin","{""WBC"": 10717.3, ""Hgb"": 15.3, ""Platelets"": 226.2, ""Glucose"": 107.3}",Peanuts,2025-05-03,Ryan Stone,Power film source magazine you none commercial.,True
168,Judy Matthews,744-70-0471,(301)853-5250x5134,joe92@example.org,oku-7760910,Female,1971-08-28,51,Asthma,Dark apply region walk candidate indicate arm.,"Gabapentin, Atorvastatin","{""WBC"": 9081.7, ""Hgb"": 16.3, ""Platelets"": 231.3, ""Glucose"": 129.3}",Shellfish,2025-08-07,Eric Washington,Time instead security learn peace garden simple few experience star.,False
169,Dawn Lopez,830-62-2245,(482)878-4337x38215,wrightandrew@example.net,drL-7437476,Female,1948-01-17,87,COPD,Cold water it piece now hot show.,Atorvastatin,"{""WBC"": 10538.1, ""Hgb"": 15.1, ""Platelets"": 367.9, ""Glucose"": 94.9}",None,2026-02-09,Ryan French,For film condition health marriage road group market task level vote build view.,False
170,Patricia Gutierrez,498-44-4995,353-805-8005,caitlin37@example.com,zZB-0684135,Other,2000-03-22,37,Arthritis,Tough tonight difficult through mission same debate right.,"Hydrochlorothiazide, Amlodipine, Metformin","{""WBC"": 8478.4, ""Hgb"": 15.2, ""Platelets"": 170.7, ""Glucose"": 76.0}",Shellfish,2025-08-03,Gwendolyn Smith,Realize since reflect necessary anyone continue player concern prevent within condition long.,False
171,Michael Velasquez,654-44-2741,+1-607-597-1380,waltonantonio@example.com,Irl-5957673,Male,1946-11-03,83,Anxiety,Reduce task wide street bed father.,Lisinopril,"{""WBC"": 7518.9, ""Hgb"": 14.1, ""Platelets"": 206.7, ""Glucose"": 76.7}",Shellfish,2025-05-13,David Hines,Whom high pull first catch business former house.,False
172,Paul Taylor,583-71-8364,001-964-601-4673x08740,xclark@example.net,FjD-6394225,Male,1955-03-08,89,Diabetes,Possible free line many sing possible left.,"Lisinopril, Levothyroxine, Simvastatin","{""WBC"": 10590.6, ""Hgb"": 12.7, ""Platelets"": 277.9, ""Glucose"": 75.4}",Penicillin,2026-01-02,Randy Coleman,Listen receive history its per despite commercial language fight which whose big four.,False
173,Matthew Stanley,294-98-3210,235-333-1153x737,bmosley@example.org,Wqi-5872641,Male,1964-03-15,3,Hypertension,Similar conference administration only strong cup.,"Atorvastatin, Levothyroxine","{""WBC"": 8416.5, ""Hgb"": 13.4, ""Platelets"": 180.1, ""Glucose"": 99.6}",None,2025-04-17,Amber Scott,Sort couple capital charge send son culture debate its wall church.,True
174,Daniel Allen,416-96-2928,477.508.0545x7995,carteradriana@example.org,xhm-3588581,Male,1970-12-08,26,Anxiety,Person film consumer home debate tree soldier raise.,Metformin,"{""WBC"": 4163.5, ""Hgb"": 12.1, ""Platelets"": 391.4, ""Glucose"": 109.9}",Shellfish,2025-05-30,Raymond Moore,Bar write address fast within agent.,False
175,Tyler Ortiz,333-75-6529,701-997-1112x5674,fosterryan@example.net,jos-2336254,Female,1968-10-10,24,Hypothyroidism,Themselves allow front draw yes deep expert avoid.,"Amlodipine, Lisinopril","{""WBC"": 9258.8, ""Hgb"": 16.4, ""Platelets"": 178.8, ""Glucose"": 122.9}",None,2025-03-10,Kristy Miller,Traditional executive reason lay world fine billion relationship like central whatever feel.,False
176,John Adams,292-36-5034,959.476.9783x81863,rachelmoore@example.com,JHb-0702150,Other,2020-03-28,19,COPD,Decision travel build.,"Albuterol, Lisinopril","{""WBC"": 5735.5, ""Hgb"": 14.5, ""Platelets"": 249.9, ""Glucose"": 116.1}",None,2025-04-11,Richard Lopez,Brother decision tax southern protect new back service situation TV might raise national.,False
177,Mark Lopez,787-67-5090,001-263-354-0554x7546,caldwelljohn@example.org,obT-1485677,Other,2012-08-05,80,Migraine,Property surface medical middle national religious choice.,"Levothyroxine, Metformin","{""WBC"": 10766.4, ""Hgb"": 14.4, ""Platelets"": 372.5, ""Glucose"": 135.6}",Latex,2025-05-27,Cathy Rogers,Stage evening beyond feeling sport quality agency country table conference.,True
178,Christina Burns,619-09-7934,8584683487,ericyoung@example.net,FdH-2154460,Other,1971-06-30,37,Depression,Could personal per collection wonder work question.,Simvastatin,"{""WBC"": 5806.7, ""Hgb"": 12.0, ""Platelets"": 361.9, ""Glucose"": 104.1}",Penicillin,2025-05-13,Justin Warren,Personal project turn remember current memory different high recent instead this heavy.,False
179,Nathan Saunders,793-31-7185,001-780-404-2891x5364,rlane@example.net,Aws-3640160,Other,1926-02-23,81,Hypertension,Which whose with day.,"Hydrochlorothiazide, Amlodipine","{""WBC"": 4974.7, ""Hgb"": 12.0, ""Platelets"": 333.9, ""Glucose"": 128.6}",Penicillin,2025-06-18,Sonya Smith,Listen history recently model success one there Mrs woman stop.,True
180,Meredith Wilkinson,464-40-0169,229.371.4604x84442,cathygarrett@example.org,BVB-6043435,Male,1937-05-31,46,Obesity,Tonight perform court speak add school know.,"Albuterol, Hydrochlorothiazide","{""WBC"": 10591.8, ""Hgb"": 12.7, ""Platelets"": 162.4, ""Glucose"": 80.5}",Peanuts,2025-10-13,Ann Coleman,Reason however low hope trouble car.,True
181,Karen Savage,334-62-4671,001-486-247-0961,richardrobinson@example.net,Iom-3521107,Other,1933-08-24,3,Hypertension,Perform plan room suffer mother perhaps.,"Atorvastatin, Metformin, Levothyroxine","{""WBC"": 5725.5, ""Hgb"": 13.2, ""Platelets"": 282.7, ""Glucose"": 124.0}",Penicillin,2025-07-17,George Ruiz,Republican trouble avoid according suffer operation.,True
182,Cheryl Williams,184-12-5661,642-627-2456,mannjohn@example.com,TiN-9185057,Male,1968-10-22,97,Depression,Quickly along himself type.,Amlodipine,"{""WBC"": 8040.8, ""Hgb"": 13.8, ""Platelets"": 264.9, ""Glucose"": 96.9}",Latex,2025-04-26,Michael Bradley,Interesting talk partner work picture go kitchen.,False
183,Heather Moore,495-35-0229,(923)784-8130,paul48@example.net,dRh-0646580,Other,2018-02-01,99,Hypertension,Space ago five grow right myself.,"Hydrochlorothiazide, Omeprazole","{""WBC"": 7922.2, ""Hgb"": 16.2, ""Platelets"": 301.2, ""Glucose"": 122.0}",None,2025-09-14,James Stokes,Finish life concern piece author different either newspaper.,False
184,Thomas Lewis,396-93-8969,887-403-5427,ltate@example.org,Ago-7036976,Male,1932-12-29,74,COPD,Star arrive raise night wonder represent along.,"Amlodipine, Lisinopril, Atorvastatin","{""WBC"": 7108.4, ""Hgb"": 15.7, ""Platelets"": 220.5, ""Glucose"": 136.3}",None,2026-01-11,Natalie Barnes,Military cold image blood after hope girl indicate study.,False
185,Lauren Wallace,084-83-4700,840.218.2590x7251,bobenglish@example.org,cts-1986062,Other,1983-08-22,51,Obesity,Campaign short message support white.,"Gabapentin, Lisinopril","{""WBC"": 8660.9, ""Hgb"": 12.4, ""Platelets"": 297.4, ""Glucose"": 130.4}",Penicillin,2025-04-14,Matthew Marsh,Whether far success second all fire result health house similar will still pass.,False
186,Darrell Burke,157-04-5170,458.711.7306,kellytate@example.net,QNY-0265782,Other,1983-08-19,41,Obesity,Inside knowledge them second exist nice article.,Atorvastatin,"{""WBC"": 7591.0, ""Hgb"": 13.9, ""Platelets"": 215.5, ""Glucose"": 93.4}",Latex,2025-12-23,Brandon Brown,Myself finally this discussion again stage factor business me light hold without.,False
187,Amy Huff,037-99-8313,(846)246-5243,larryking@example.net,Ims-1813968,Female,2025-02-17,96,Migraine,Or career past always step speak project.,Levothyroxine,"{""WBC"": 7854.9, ""Hgb"": 13.7, ""Platelets"": 328.7, ""Glucose"": 122.3}",Shellfish,2026-01-04,Danielle Obrien,Six reason I still scientist interview name up for court.,False
188,Stephen Clark,480-63-6434,737.330.8101x401,ooneal@example.net,UNK-8677454,Other,1957-04-21,53,Migraine,Speech record win beat coach son.,Levothyroxine,"{""WBC"": 6710.4, ""Hgb"": 12.1, ""Platelets"": 175.7, ""Glucose"": 95.7}",Latex,2025-04-28,Sarah Campbell,Interview late traditional card know environment from black need.,False
189,Wanda Andrews,244-68-6132,+1-806-487-1520,katiejones@example.net,VLW-6701546,Other,2013-12-09,56,Depression,Begin edge central red.,"Metformin, Atorvastatin, Lisinopril","{""WBC"": 6679.5, ""Hgb"": 12.9, ""Platelets"": 232.6, ""Glucose"": 114.6}",Peanuts,2025-07-21,Michelle Cochran,Address forget establish six response truth week believe radio business out since.,False
190,Caitlin Romero,328-54-2252,894.767.1910x4921,bowersashley@example.com,KgF-0945172,Female,1962-08-23,86,Diabetes,Officer father represent first seem.,Simvastatin,"{""WBC"": 6795.1, ""Hgb"": 13.6, ""Platelets"": 384.0, ""Glucose"": 133.0}",Latex,2025-08-21,Allison Zavala,Reduce right similar sure figure represent despite describe two land.,True
191,Katherine Long,387-21-7631,581-500-9148,steven56@example.net,Qwf-4237717,Male,1950-08-14,29,Migraine,Pull firm measure.,"Levothyroxine, Atorvastatin","{""WBC"": 5465.8, ""Hgb"": 13.9, ""Platelets"": 380.6, ""Glucose"": 135.0}",Peanuts,2025-09-30,Mary Ross,Buy take save along alone difficult way tend move rise politics management live.,True
192,Shawn Tanner,092-98-7457,+1-324-897-1148x10559,joshuadalton@example.org,deQ-0959894,Female,1930-08-02,67,Anxiety,Change truth risk small policy kind.,"Metformin, Gabapentin","{""WBC"": 5318.7, ""Hgb"": 13.9, ""Platelets"": 323.1, ""Glucose"": 138.8}",Shellfish,2025-10-13,Randy Smith,Onto east rock this animal same mention others idea.,True
193,Crystal Stout,587-12-3364,255.682.8634,fhenry@example.org,aVl-5875838,Other,1930-06-18,31,COPD,Concern take tell than prepare nature third.,Omeprazole,"{""WBC"": 10673.9, ""Hgb"": 15.6, ""Platelets"": 248.2, ""Glucose"": 86.7}",Pollen,2025-11-10,Travis Thompson,Form pattern opportunity charge sometimes ever what smile apply fire each purpose.,False
194,Timothy Brown,099-78-1726,+1-295-471-3492x4792,epatel@example.net,Tqr-9162824,Other,1957-10-11,41,COPD,Performance shake leave art.,"Levothyroxine, Omeprazole, Albuterol","{""WBC"": 7079.9, ""Hgb"": 13.6, ""Platelets"": 359.5, ""Glucose"": 83.6}",Pollen,2025-07-19,Cathy Brown,Hope Democrat wide per station sort community rock become behind well.,True
195,Edward Shaffer,012-37-5372,(921)402-9112x119,denise37@example.net,ZYO-7911459,Other,1926-09-22,60,Obesity,Off their quickly throw in hair natural.,"Albuterol, Gabapentin, Lisinopril","{""WBC"": 5577.6, ""Hgb"": 14.5, ""Platelets"": 385.1, ""Glucose"": 77.8}",Penicillin,2025-07-03,Tracey Howell,Power economy machine opportunity former respond decade.,True
196,George Hancock,769-21-6502,(746)511-4236,hunter62@example.net,Bbh-1150996,Male,1989-02-09,71,Arthritis,Eye party resource.,"Albuterol, Atorvastatin, Gabapentin","{""WBC"": 4688.2, ""Hgb"": 12.7, ""Platelets"": 288.5, ""Glucose"": 70.8}",Penicillin,2026-01-08,James Hunt,Medical Mrs sea exactly include ahead able add challenge throughout toward resource entire.,True
197,Cameron Ramirez,762-05-4571,551.793.8587x249,michael57@example.org,FNF-6659188,Male,1963-12-07,76,Obesity,Rule strong particular order heavy.,"Atorvastatin, Amlodipine","{""WBC"": 10269.7, ""Hgb"": 17.1, ""Platelets"": 283.3, ""Glucose"": 112.2}",None,2025-11-16,Jill Dawson,Song president continue news notice girl be poor anything person recently.,True
198,Morgan Livingston,767-40-2416,(400)967-4588,cynthia79@example.org,Yiu-9064632,Male,1959-04-09,53,Hypothyroidism,Show middle build necessary growth.,"Lisinopril, Metformin","{""WBC"": 7562.6, ""Hgb"": 13.7, ""Platelets"": 364.3, ""Glucose"": 113.3}",Latex,2025-04-11,Cheryl Ware,Crime course short political policy expect adult big.,True
199,Christine Shannon,335-95-1446,284-511-4255x819,robertclayton@example.org,Xwf-6918184,Other,2025-12-11,8,Obesity,Family anyone part act fall whether attack character.,"Simvastatin, Atorvastatin, Metformin","{""WBC"": 9302.3, ""Hgb"": 13.6, ""Platelets"": 376.7, ""Glucose"": 124.4}",Peanuts,2026-01-11,Tammy Castillo,Actually director father company system themselves possible recognize happy country since those both.,False
200,Lauren Villanueva,185-69-9481,+1-924-972-0791x34927,ngutierrez@example.com,SZN-6735098,Other,1992-09-17,29,Anxiety,Magazine even prepare deep left.,Levothyroxine,"{""WBC"": 10670.7, ""Hgb"": 16.6, ""Platelets"": 314.9, ""Glucose"": 80.8}",Penicillin,2025-10-25,Tammy Terrell,Food together someone place partner second.,True
201,Danielle Vargas,574-77-6428,(331)263-8315x17998,suttongary@example.net,QFo-2562735,Male,1946-02-17,92,Hypertension,Society necessary care.,"Atorvastatin, Lisinopril, Gabapentin","{""WBC"": 4517.8, ""Hgb"": 14.3, ""Platelets"": 381.7, ""Glucose"": 122.0}",Latex,2025-05-23,Carmen Ford,Couple feeling analysis help design choice according like.,False
202,Grant Robinson,694-65-5266,(945)547-0527,sdavenport@example.com,Nrv-4401884,Other,1937-10-29,23,Depression,Door well your skill.,Hydrochlorothiazide,"{""WBC"": 7512.6, ""Hgb"": 15.4, ""Platelets"": 343.0, ""Glucose"": 98.4}",Latex,2025-03-24,Alice Smith,Campaign wife especially true central apply ask pay bring ability detail first television.,False
203,Natalie Hansen,254-30-5765,+1-984-731-9263,marshallalvin@example.com,snC-2554464,Female,2013-08-07,57,Asthma,Which do card your hundred.,"Simvastatin, Hydrochlorothiazide, Amlodipine","{""WBC"": 7768.6, ""Hgb"": 15.1, ""Platelets"": 153.1, ""Glucose"": 81.2}",Latex,2025-05-18,Patricia Moore,Image great among down some view.,False
204,Stephen Cruz,248-64-0115,(458)870-8848x6050,shannonjohnson@example.com,aFH-4533972,Male,2005-01-25,46,Obesity,Before artist lawyer join subject me.,"Amlodipine, Albuterol","{""WBC"": 7242.9, ""Hgb"": 16.2, ""Platelets"": 344.7, ""Glucose"": 72.6}",Shellfish,2025-04-08,Jennifer Stark,Indicate result candidate left federal single benefit government consider.,False
205,Timothy Potter,010-25-0307,(915)887-5245x380,mgarcia@example.org,wGM-2710872,Male,1979-05-09,42,Asthma,Every have management no issue.,"Hydrochlorothiazide, Metformin, Simvastatin","{""WBC"": 6743.2, ""Hgb"": 17.0, ""Platelets"": 370.5, ""Glucose"": 70.5}",Peanuts,2025-11-08,Kyle Lynch,Teacher energy remember spring close enough push nice involve term.,False
206,Shannon Snyder,514-95-0249,+1-227-690-0169x53989,ana00@example.com,ubg-5711472,Other,1949-10-01,5,Depression,Few exactly agency born budget.,Levothyroxine,"{""WBC"": 8225.3, ""Hgb"": 15.0, ""Platelets"": 160.3, ""Glucose"": 98.1}",Latex,2025-07-12,Dennis Jones,May mean week admit activity Mr computer must.,False
207,Dawn Anderson,261-96-0226,346.617.2473,robert01@example.org,Nos-1936281,Female,2015-12-15,56,Hypothyroidism,Personal investment the another citizen.,Gabapentin,"{""WBC"": 7201.8, ""Hgb"": 15.2, ""Platelets"": 342.4, ""Glucose"": 118.8}",Latex,2025-09-14,Deborah Dean,Quickly party language threat power good too.,False
208,Stacy Fernandez,341-36-7422,(278)921-1612,andradejonathan@example.com,Lvn-4842880,Other,1964-06-27,60,COPD,Improve call board certainly.,Atorvastatin,"{""WBC"": 5713.7, ""Hgb"": 12.4, ""Platelets"": 344.9, ""Glucose"": 123.3}",None,2025-09-11,Deanna Jones,Story author Republican focus same second environment lot every position owner.,True
209,Jermaine Alvarez,536-65-0387,+1-964-269-9252x3221,kdavis@example.com,imh-7495629,Male,2008-10-17,94,Anxiety,Move adult debate light tonight young.,Omeprazole,"{""WBC"": 7655.5, ""Hgb"": 16.6, ""Platelets"": 246.6, ""Glucose"": 100.8}",Penicillin,2025-09-16,Jill Fritz,Local program try measure gas into friend record hard.,True
210,Katie Mccann,396-63-9331,584.582.7147x3640,greyes@example.net,QCK-4390737,Male,2006-10-31,5,Anxiety,Conference you fine center technology investment brother.,"Simvastatin, Levothyroxine","{""WBC"": 5649.8, ""Hgb"": 14.3, ""Platelets"": 217.9, ""Glucose"": 71.0}",Shellfish,2025-12-09,Kurt Bailey,Over very which interest agent performance baby each enjoy first.,True
211,Jon Hamilton,392-67-0340,576-971-8282x94505,weaversteven@example.org,QFY-2432120,Male,1948-04-13,4,COPD,Capital difference expect small.,Simvastatin,"{""WBC"": 4539.9, ""Hgb"": 16.8, ""Platelets"": 153.9, ""Glucose"": 127.0}",Latex,2025-03-12,Rose Scott,Start boy image score around reflect environment field court member girl.,False
212,Taylor Wallace,113-30-3187,682.708.6117,peter87@example.com,EUl-3383821,Other,2016-10-10,91,Migraine,Example eat forward police but specific your.,"Metformin, Gabapentin","{""WBC"": 6258.6, ""Hgb"": 12.7, ""Platelets"": 341.5, ""Glucose"": 108.4}",Penicillin,2025-04-05,Amanda Turner,Believe option while reflect business collection even support I both growth seek book.,True
213,Joshua Lewis,595-04-6709,261.889.5954,kristenmorris@example.org,RVV-5194388,Male,1984-06-21,99,Migraine,Realize per forget lead glass card use.,Gabapentin,"{""WBC"": 10512.8, ""Hgb"": 14.5, ""Platelets"": 342.8, ""Glucose"": 97.2}",Latex,2025-03-04,Erica Castillo DVM,Police federal each second never assume song human blue.,False
214,Martin Farley,161-91-4447,764-309-2549,drew67@example.net,qvq-7909527,Female,1962-04-05,37,Hypothyroidism,College figure effect friend.,"Omeprazole, Gabapentin, Metformin","{""WBC"": 7176.0, ""Hgb"": 12.6, ""Platelets"": 151.0, ""Glucose"": 77.2}",Peanuts,2025-08-28,Evan Thomas,Room fly agree Congress tend sit rise.,True
215,Derek Lee,804-79-8190,001-211-401-8530x85848,nmora@example.com,zya-6795096,Other,1956-01-12,93,Asthma,Movement relate large where.,Simvastatin,"{""WBC"": 10772.6, ""Hgb"": 13.0, ""Platelets"": 319.7, ""Glucose"": 94.2}",Peanuts,2025-11-29,Phillip Walsh,Plant who region part article half quite cell.,True
216,Laurie Torres,206-45-4730,535.308.4630,jennifermiller@example.net,Pcf-5629654,Male,2002-04-09,62,Arthritis,Speak could its rock by.,"Omeprazole, Hydrochlorothiazide","{""WBC"": 5453.3, ""Hgb"": 17.1, ""Platelets"": 186.9, ""Glucose"": 103.9}",Pollen,2026-01-12,Jay Patterson,Protect week travel pick class discover.,False
217,Dennis Robinson,058-33-4828,8839662451,rholmes@example.net,hoK-1675016,Other,1962-10-10,97,Migraine,Job stock police grow give future.,Levothyroxine,"{""WBC"": 4501.9, ""Hgb"": 15.6, ""Platelets"": 212.9, ""Glucose"": 88.9}",Penicillin,2025-10-11,Tonya Clark,Own according player skin lot toward.,True
218,Dana Osborne,224-11-1767,(668)284-3574x86054,hevans@example.net,bqi-7082345,Male,1957-10-23,66,Migraine,Commercial try another themselves.,Lisinopril,"{""WBC"": 6773.5, ""Hgb"": 16.0, ""Platelets"": 235.4, ""Glucose"": 114.0}",None,2025-11-13,Jacob Russo,Eight how might good news son suffer watch.,True
219,Nicole Morrison,052-62-2546,952.886.0870,yhodge@example.com,QWX-6001296,Female,1948-04-02,96,Diabetes,Size raise allow thousand talk popular.,"Metformin, Hydrochlorothiazide, Levothyroxine","{""WBC"": 7108.0, ""Hgb"": 12.4, ""Platelets"": 375.7, ""Glucose"": 126.8}",Penicillin,2025-08-11,Kimberly Jackson,Without up body perform offer identify treat.,False
220,Emily Hancock,700-20-2027,(287)775-3912,mendozaalyssa@example.org,RAo-0959232,Male,1998-05-01,18,Depression,Attack east direction by win service financial.,"Omeprazole, Hydrochlorothiazide, Amlodipine","{""WBC"": 7961.4, ""Hgb"": 15.5, ""Platelets"": 202.7, ""Glucose"": 90.5}",None,2025-05-02,Deborah Gonzalez,Camera tend why enjoy what win mention quite long finally fear.,True
221,Brooke Lee,615-61-2744,001-508-275-8721,sandra36@example.com,TnK-0131033,Male,1929-07-15,29,Asthma,Skill product account long interesting else.,"Omeprazole, Hydrochlorothiazide","{""WBC"": 6745.4, ""Hgb"": 16.1, ""Platelets"": 299.5, ""Glucose"": 131.9}",Penicillin,2026-02-12,James Perez,Door main company benefit treatment keep one Congress west year fill.,True
222,Kelly Cruz,356-92-6368,268.463.3871,nicholas61@example.net,FEd-5000030,Other,1962-05-14,43,Obesity,Rate for pass certain space movie stage.,"Amlodipine, Omeprazole","{""WBC"": 5472.2, ""Hgb"": 14.7, ""Platelets"": 163.0, ""Glucose"": 85.1}",Shellfish,2025-09-06,Jeffrey Macdonald,Store firm physical human song fine rule consumer ball discuss.,False
223,Sandra Hughes,250-31-7078,001-692-734-0918x210,richardrollins@example.net,uAu-6471877,Female,2004-09-14,6,Asthma,Choose kind learn woman expert.,Hydrochlorothiazide,"{""WBC"": 10759.4, ""Hgb"": 14.4, ""Platelets"": 278.6, ""Glucose"": 101.9}",Latex,2025-09-05,Shane Delacruz,Suddenly begin develop be rather thank late best TV.,False
224,Reginald Herrera,489-91-3201,811-791-5441x7647,paulfarmer@example.org,qSW-6688453,Other,1934-01-30,55,Hypothyroidism,Official power Mr relationship event.,Atorvastatin,"{""WBC"": 8245.5, ""Hgb"": 13.0, ""Platelets"": 324.1, ""Glucose"": 126.7}",Peanuts,2025-07-18,Luis Horton,Step ready deep watch article approach board too likely decide white reflect.,True
